Description,Type,Softwares,Work instruction,Message,Files,Base Resume,Supplementary Resume,Difficulty level,Resolution,Logs
"Alteração de acesso do usuário para perfil administrativo.
", Alteração de Acesso,SISTEMA Y,KB0010536,,,,,1,"1.Acessado o sistema SISTEMA Y.
2.Navegado até ""Administração"" > ""Controle de Acesso"" > ""Usuário"".
3.Localizado o usuário João Silva.
4.Alterado o perfil do usuário para ""Administrador"".
5.Salvo as alterações.","2024-07-12 09:00 - Acesso ao sistema realizado.
2024-07-12 09:05 - Usuário João Silva localizado.
2024-07-12 09:10 - Perfil do usuário alterado para ""Administrador"".
2024-07-12 09:15 - Alterações salvas e confirmação recebida."
Remoção de acesso do usuário por término de contrato.,Inativação de Acesso,SISTEMA Y,KB0010536,,,,,1,"1.Acessado o sistema SISTEMA Y.
2.Navegado até ""Administração"" > ""Controle de Acesso"" > ""Usuário"".
3.Localizado o usuário Maria Oliveira.
4.Removido o acesso do usuário.
5.Salvo as alterações.","2024-07-12 10:00 - Acesso ao sistema realizado.
2024-07-12 10:05 - Usuário Maria Oliveira localizado.
2024-07-12 10:10 - Acesso do usuário removido.
2024-07-12 10:15 - Alterações salvas e confirmação recebida."
Atualização de acesso do usuário para perfil de leitura.,Alteração de acesso,SISTEMA Y,KB0010536,,,,,1,"1.Acessado o sistema SISTEMA Y.
2.Navegado até ""Administração"" > ""Controle de Acesso"" > ""Usuário"".
3.Localizado o usuário Silva.
4.Alterado o perfil do usuário para ""Leitura"".
5.Salvo as alterações.","2024-07-12 11:00 - Acesso ao sistema realizado.
2024-07-12 11:05 - Usuário Pedro Silva localizado.
2024-07-12 11:10 - Perfil do usuário alterado para ""Leitura"".
2024-07-12 11:15 - Alterações salvas e confirmação recebida."
"Atribuição de perfil de acesso administrativo para novo colaborador.
", Atribuição de Acesso,SISTEMA Y,KB0010544,,,,,1,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y.
3. Navegado até ""Users"" e localizado o usuário Rafael Souza.
4. Atribuído grupo de acesso ""Admin"" e perfil ""Administrador"".
5. Marcado checkbox ""Password Required"".
6.  Selecionado ""Pro"" em Default User Interface.
7. Deixado marcado somente ""Pro                                 8. Interfaces"" em Allowed Interfaces.
9. Salvo as alterações.","2024-07-12 14:00 - Acesso ao sistema realizado.
2024-07-12 14:05 - Usuário Rafael Souza localizado.
2024-07-12 14:15 - Perfil e grupo de acesso alterados para ""Admin/Administrador"".
2024-07-12 14:20 - Alterações salvas e confirmação recebida."
Atualização de perfil de acesso para colaborador em férias.,Alteração de acesso,SISTEMA Y,KB0010544,,,,,1,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y.
3. Navegado até ""Users"" e localizado o usuário Clara Martins.
4. Alterado status do usuário para ""Inativo"".
5. Salvo as alterações.","2024-07-12 15:00 - Acesso ao sistema realizado.
2024-07-12 15:05 - Usuário Clara Martins localizado.
2024-07-12 15:10 - Status do usuário alterado para ""Inativo"".
2024-07-12 15:15 - Alterações salvas e confirmação recebida."
"Reativação de acesso para colaborador retornando de férias.
",Reativação de acesso,SISTEMA Y,KB0010544,,,,,1,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y.
3. Navegado até ""Users"" e localizado o usuário Lucas Pereira.
4. Alterado status do usuário para ""Ativo"".
5. Marcado checkbox ""Password Required"".
6. Selecionado ""Pro"" em Default User Interface.
7. Deixado marcado somente ""Pro Interfaces"" em Allowed Interfaces.
8. Salvo as alterações.","2024-07-12 16:00 - Acesso ao sistema realizado.
2024-07-12 16:05 - Usuário Lucas Pereira localizado.
2024-07-12 16:15 - Status do usuário alterado para ""Ativo"".
2024-07-12 16:20 - Alterações salvas e confirmação recebida."
Atribuição de acesso ao módulo financeiro para o grupo Contabilidade.,Atribuição de Acesso (Grupo),SISTEMA Y,KB0010579,,,,,1,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y via Citrix.
3. Navegado até ""Sistemas"" > ""SISTEMA Y"".
4. Selecionado ""Configurar Segurança"".
5. Logado com ""Login"" e ""Password"".
6. Navegado até ""Profiles"", marcado ""Groups"", localizado o grupo Contabilidade.
7. Arrastado a aplicação Financeiro até o grupo Contabilidade e clicado em ""Yes"" e ""Save"".","2024-07-12 10:00 - Acesso ao sistema realizado.
2024-07-12 10:05 - Grupo Contabilidade localizado.
2024-07-12 10:10 - Aplicação Financeiro atribuída ao grupo.
2024-07-12 10:15 - Alterações salvas e confirmação recebida."
Alteração de acesso do usuário João Silva para o módulo de Compliance.,Alteração de Acesso (Usuário),SISTEMA Y,KB0010579,,,,,1,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y via Citrix.
3. Navegado até ""Sistemas"" > ""SISTEMA Y"".
4. Selecionado ""Configurar Segurança"".
5. Logado com ""Login"" e ""Password"".
6. Navegado até ""Profiles"", marcado ""User"", localizado o usuário João Silva.
7. Arrastado a aplicação Compliance até o usuário João Silva e clicado em ""Yes"" e ""Save"".","2024-07-12 11:00 - Acesso ao sistema realizado.
2024-07-12 11:05 - Usuário João Silva localizado.
2024-07-12 11:10 - Aplicação Compliance atribuída ao usuário.
2024-07-12 11:15 - Alterações salvas e confirmação recebida."
Remoção de acesso do módulo TI para o grupo Fiscal Estadual.,Remoção de acesso (grupo),SISTEMA Y,KB0010579,,,,,2,"1. Recebido chamado com autorização gerencial anexa.
2. Acessado o sistema SISTEMA Y via Citrix.
3. Navegado até ""Sistemas"" > ""SISTEMA Y"".
4. Selecionado ""Configurar Segurança"".
5. Logado com ""Login"" e ""Password"".
6. Navegado até ""Profiles"", marcado ""Groups"", localizado o grupo Fiscal Estadual.
7. Removido a aplicação TI do grupo Fiscal Estadual e clicado em ""Yes"" e ""Save"".","2024-07-12 12:00 - Acesso ao sistema realizado.
2024-07-12 12:05 - Grupo Fiscal Estadual localizado.
2024-07-12 12:10 - Aplicação TI removida do grupo.
2024-07-12 12:15 - Alterações salvas e confirmação recebida."
Cadastro de novo usuário no ambiente PRD.,Cadastro de usuário,SISTEMA Y,,,,,,1,"1. Recebido chamado com autorização do Gerente de PRD anexa.
2. Acessado o sistema SISTEMA Y via navegador.
3. Navegado até a página de login e autenticado com credenciais de Gestão de Acessos.
4. Clicado em ""Novo Usuário"".
5. Preenchido dados: João da Silva, CPF, RG, Login de rede, Perfil Financeiro.
6. Selecionado ambiente PRD.
Clicado em ""Cadastrar Usuários"".
7. Mensagem de confirmação de cadastro recebida.
8. Informado o usuário sobre a finalização do cadastro e senha provisória.
","2024-07-12 14:00 - Acesso ao sistema realizado.
2024-07-12 14:05 - Dados do usuário João da Silva preenchidos.
2024-07-12 14:10 - Ambiente PRD selecionado.
2024-07-12 14:15 - Cadastro finalizado e confirmação recebida."
